WEEK 1 SESSION 1: Foundations of Clear Thinking,,LEARNING OUTCOMES 🚀,,WEEK 2 SESSION 3: Ideas in Motion,,LEARNING OUTCOMES 🚀,,"WEEK 3 SESSION 5: Design for People, Not Just Ideas",,LEARNING OUTCOMES 🚀,,WEEK 4 SESSION 7: Logic in Action,,LEARNING OUTCOMES 🚀,,WEEK 5 SESSION 9: Choices & Chances ,,LEARNING OUTCOMES 🚀,,WEEK 6 SESSION 11: Prompting Like a Pro,,LEARNING OUTCOMES 🚀,,WEEK 7 SESSION 13: Mapping Patterns to Action,,LEARNING OUTCOMES 🚀
🔥 Warm-up,"My Creativity Map - They reflect on the times they have been creative in different domains (school, home, nature)",To not find the idea of being creative intimidating by reflecting on the times they have been creative,,🔥 Warm-up,What Could this be? - Students see different shapes and quickly imagine what each shape could become under a time limit,Removes fear of “wrong”. Shows ideas aren’t linear.,,🔥 Warm-up,Riddle Remix - Explore different solutions to riddles,Develop flexible thinking by exploring multiple possible answers,,🔥 Warm-up,Grid Logic Challenge - Students tackle puzzles with all information provided,Strengthen attention to detail,,🔥 Warm-up,Category Detective - Identify shared categories between items,Categorisation,,🔥 Warm-up,Prompt Wisdom Quiz,Identify common errors about prompting,,🔥 Warm-up,Impossible Problem Challenge - Give kids a seemingly impossible problem and ask them to brainstorm for ideas,Interpret and create graphs to represent relationships between variables
,,,,,,,,,,,,💡 Key Topic,Introduction to Logic Gates,Learn that systems (including AI and computers) work using conditions,,,,,,💡 Key Topic,"AI Basics - As a tool, misinformation, reliability, principles","Understand that AI is a tool, not a source of guaranteed truth",,,"What's the Catch? - Spot misleading offers, hidden catches, and data-safety risks",Build early data and digital safety awareness
,"Active listening - discussion on what makes a good listener, which traits to keep and discard, analyse situations to determine if they are active listeners or not, takeaway exercise to be a good listener and share experience in the next class","Develop the ability to listen with focus, understand others better, and respond thoughtfully.",,💡 Key Topic,"Prompt Engineering - Cover materials to discuss what prompts are, quiz to make sure they understand, and experiment how changes in prompts influence AI-generated responses","Develop the skill of giving clear, specific, and structured directions",,,"You Can Only Pick Two Game - Choose 2:
1. Cheap
2. Fast
3. High Quality",Understand that decisions involve trade-offs,,✏️ DIY,(Communication) Precision Instructions - Giving instructions precisely to systems,Learn how systems (including AI) rely on precise input,,💡 Key Topic,Introduction to Probability ,Connect patterns to predicting outcomes,,✏️ DIY,Prompting like a Pro - CLEAR Framework + One shot/Few shot prompt,"Improve vague prompts into clear, structured ones",,💡 Key Topic,Demo Day Practice,"Preparation, organization and time-managent before an event"
,,,,✏️ DIY,"Parrot, Paraphrase, Power-Up - One student speaks and the other practices active listening by repeating the message exactly (parrot), rephrasing it in their own words (paraphrase), and then suggesting an improved version (power up).",Learn to understand before responding,,,,,,,Strategic Puzzles - Students solve puzzles by comparing rules and predicting which gives the best chance of winning,Compare different rule systems and their outcomes,,✏️ DIY,Probability Practice - Puzzles + interactive game ,Apply simple probability concepts to solve problems and make predictions using data,,,AI Dungeon Game - Students quickly see how different prompt inputs lead to very different narrative results,Develop cause-and-effect awareness between instructions and AI responses,,✏️ DIY,Scenario Agents - Students revisit the agent planner activity and learn to reduce mistakes by designing clearer instructions,Students revisit the agent planner activity and learn to reduce mistakes by designing clearer instructions
💡 Key Topic,What is AI?,"First AI insight: AI is fast, can make mistakes, better intructions lead to better outcomes",,,Multiple Uses Game - Students are given everyday objects and challenged to come up with as many different uses as possible within a time limit.,Reduce fear of being “wrong” in idea generation,,💡 Key Topic,Introduction to User Research,"Understand that effective solutions are based on real user needs, and learn basic methods to gather insights about people’s problems and behaviors",,,Logic Gates Puzzles,Practice solving problems using structured logic,,,,,,,,,,,“Future You” Vision Board - Kids create a vision board for what their project could look like in the real world,Apply step-by-step logical thinking to improve clarity and reduce errors in project workflows
,,,,,Product Building - Write down your idea for the product you want to build,,,,,,,,Logic Gates Generator/Interaction,Experiment with how changing inputs changes results,,🤖 AI Lab,"AI, Classify This! - Prompt an AI system to group diverse items based on logical criteria and analyze the reasoning behind each classification",Practice giving AI clear logical classification rules,,🤖 AI Lab,Hallucination Hunt - Students ask AI 3 questions: • obvious • tricky • emotional They tag AI answers: 🟢 safe / 🟡 unsure / 🔴 dangerous,Identify when AI responses may be unreliable,,,"Demo Day Checklist - Test the technology, materials, and timing, preparing for a smooth and professional booth setup",Apply organizational and planning skills to ensure a professional and efficient presentation
✏️ DIY,"Estimation Challenge Quiz - Simple, fast-paced math problems",Build number sense and confidence in thinking quickly and logically,,🤖 AI Lab,Idea Round - Students ask AI: “Give 10 uses for a paper clip.” They compare: • Which ideas feel boring? • Which feel original? • Which feel impossible?,"First AI insight: AI is fast, can make mistakes, better intructions lead to better outcomes",,✏️ DIY,User Interview Lab - Students create 5 interview questions for a potential user of their product idea,"Develop skills in asking open-ended, insight-focused questions to uncover real user challenges and behaviors",,🤖 AI Lab,Which Way is Best? - Students are given different scenarios to understand the optimal decision to make and explore alternative strategies with AI and assess outcomes,Evaluate multiple possible solutions before making a decision,,,,,,🧠 Artifact  (think on this at home and discuss) ,My Smart Prompt Card,Develop rules to follow when prompting AI,,🧠 Artifact  (think on this at home and discuss) ,Project Pattern Map,Connect current project design to future possibilities through visual planning and reflection
,,,,,,,,,"Pain Point Ranking Challenge - Students list problems they discovered during user interviews, then score each one based on how often it happens (frequency) and how serious it is (impact). They calculate a priority score and decide which single problem is most important to solve first","Analyze user research findings, evaluate problems based on frequency and impact, and prioritize which user need to address first using structured decision-making",,🧠 Artifact  (think on this at home and discuss) ,Ad-Maker Challenge - AI generates slogans → students filter manipulative ones.,Develop awareness of ethical communication boundaries,,🧠 Artifact  (think on this at home and discuss) ,Product Pitch Deck,Students create a mini pitch (4–5 slides/pages) about their product,,,,,,,,
🤖 AI Lab,Emotional Questions to AI - Write and ask emotional questions to AI,Introduces AI reliability gently,,🧠 Artifact  (think on this at home and discuss) ,My Idea Sorter - • Wild ideas (fun but hard now) • Useful ideas (practical & helpful) • Tricky ideas (sound good but have problems) • My own idea (not from AI),Reflection > output,,🤖 AI Lab,AI as a Simulated User - Use AI as a user and raise questions and solve problems,"Use AI to simulate user perspectives, identify hidden weaknesses in ideas, and refine solutions based on realistic user needs",,,,,,,,,,,,,,,,
